sku_id,category,Sum of current_price,Sum of recommended_price,Sum of price_change_pct,Sum of volume_change_pct,Sum of profit_change_pct,Sum of elasticity
SKU0001,Electronics,324321.2844817595,58577.7662594235,-90.0181051743509,110.03223317483972,-237.60410884400991,-22.052699999999994
SKU0002,Electronics,541769.1108652296,87804.8780487804,-2.305194205002091,1.8189270899867458,-8.24965451082448,-32.2236
SKU0003,Electronics,936650.6778837995,439024.3902439021,-40.958328823594265,52.350030723633864,-132.99257076315766,-14.1864
SKU0004,Electronics,375225.62025272247,,,,,-39.1839
SKU0005,Electronics,184239.68885222802,58536.58536585361,-6.038868447344071,15.438219687583267,-16.690699318478188,-74.37029999999997
SKU0006,Electronics,1315667.1729560709,358536.5853658533,-11.876742743196282,26.743332740083453,-33.2035826412344,-38.2236
SKU0007,Electronics,503812.01223489776,,,,,-60.419700000000006
SKU0008,Groceries,17783.19060465526,13414.634146341454,-23.67180949116797,11.06180841745008,-0.9472194431093568,-11.391000000000005
SKU0009,Groceries,27638.273337829374,13475.609756097454,-41.52479984942889,99.99281444985144,-107.72047714224122,-53.774399999999986
SKU0010,Groceries,17465.52613913188,,,,,15.065399999999993
SKU0011,Groceries,16803.084679002386,8878.0487804878,-39.30338691160867,50.11716908349982,-134.356513047464,-29.37870000000001
SKU0012,Groceries,12068.835857226884,8341.463414634141,-101.16958880275148,168.91950525995532,-302.6592557157994,-41.370900000000006
SKU0013,Groceries,11091.765106906283,341.463414634146,-12.4782350539143,29.8306584354442,-27.5527613781299,-39.1719
SKU0014,Apparel,16131.85263343128,9146.341463414627,-46.56412587552903,45.604811158470994,-158.6242375003665,-27.458099999999995
SKU0015,Apparel,52798.42372205769,25365.85365853655,-58.512283326977126,201.25233614414813,-105.845056883632,-70.61069999999997
SKU0016,Apparel,89642.64556252898,10731.70731707316,-71.42551762695899,129.6548416558529,-159.9758594441857,-27.358800000000002
SKU0017,Apparel,90546.1969934048,71707.31707317063,32.12118519512264,-6.960467172193097,368.25913698604865,5.071199999999999
SKU0018,Apparel,62555.06028826026,30121.95121951209,-84.47812354425805,200.47109302706522,-213.83762385860157,-40.984199999999994
SKU0019,Apparel,60659.76910644356,5487.80487804876,-32.808651896517894,14.151997989021469,-111.5421303616238,-13.010999999999994
SKU0020,Home & Kitchen,170011.84912999065,103658.53658536577,-60.5553284034813,110.13844243402063,-124.78054284675633,-32.90790000000001
SKU0021,Home & Kitchen,118529.64466438281,37073.17073170728,-9.680071449510642,31.938828487590637,-20.079887081505724,-56.52569999999998
SKU0022,Home & Kitchen,131246.57057436556,11707.31707317072,-44.7358224009796,56.71432408892181,-118.8993880078408,-22.497599999999988
SKU0023,Home & Kitchen,210572.21904516913,158536.58536585362,6.908470458884849,44.351101465672166,506.818992171219,-25.36080000000001
SKU0024,Home & Kitchen,61674.646542304115,37317.073170731666,-147.2342519471337,296.89323534297637,-377.13772502149425,-51.235199999999985
SKU0025,Home & Kitchen,54959.413512268526,13676.084978861772,-88.45242932573073,88.45690316610279,-252.87880409060799,-18.597300000000004
SKU0026,Beauty & Personal Care,30497.57340968165,25243.902439024252,-90.77949112861957,97.98815845145353,-275.1683559234044,-20.695199999999993
SKU0027,Beauty & Personal Care,15437.938719856305,5487.804878048775,10.396268663579914,27.591377009697823,162.18493678505317,-76.87979999999999
SKU0028,Beauty & Personal Care,17070.896215806373,,,,,-27.335100000000008
SKU0029,Beauty & Personal Care,58981.73869010918,2257.05653507655,-5.73102317142831,-2.99999999999999,-25.3970923201293,-1.8861000000000023
SKU0030,Beauty & Personal Care,73245.85294141927,50975.60975609751,-69.07261469350992,84.73604844099306,-217.36553760157614,-32.47979999999999
SKU0031,Beauty & Personal Care,11766.91760059914,,,,,-58.34010000000003
SKU0032,Sports & Fitness,96729.62837063348,80487.80487804869,-52.282174004204165,17.56164947599037,-101.73248285863117,-15.825600000000012
SKU0033,Sports & Fitness,30575.24492647554,5513.38996575221,-7.14508691402927,2.548805124508593,-28.143197879210327,-7.820100000000002
SKU0034,Sports & Fitness,45417.11865945701,10975.609756097549,96.6334178448591,-12.640559262049788,18380.600448812587,-27.04739999999999
SKU0035,Sports & Fitness,22767.821979928605,,,,,6.5244000000000035
SKU0036,Sports & Fitness,89923.38915925492,16103.59562708312,-24.955658522933728,63.894397562273376,-58.83160703793007,0.6146999999999982
SKU0037,Sports & Fitness,14490.19471905115,,,,,-83.34929999999999
SKU0038,Books & Stationery,14402.41326995158,11524.390243902437,13.733201528732815,-5.200181882219158,171.89724457785482,-16.3437
SKU0039,Books & Stationery,9632.868222852721,5121.951219512189,5.207785273779492,88.25571001168468,324.4933525505306,-65.1249
SKU0040,Books & Stationery,12289.986483151884,,,,,-97.78499999999995
SKU0041,Books & Stationery,7913.371944201502,,,,,17.010900000000003
SKU0042,Books & Stationery,25494.264614224045,13658.536585365835,-15.23781151901042,7.868181166006018,-8.595801128412155,-20.067300000000014
SKU0043,Books & Stationery,17374.773133286155,,,,,-49.11060000000001
SKU0044,Pet Supplies,51564.748054965195,27317.07317073167,-36.760536639280275,80.5214518506709,-95.21791794506716,-47.118300000000005
SKU0045,Pet Supplies,37096.960511284764,28170.731707316947,-97.0814304676025,92.11142683316108,-328.9822000797001,-26.12549999999999
SKU0046,Pet Supplies,14472.633536702848,12621.951219512192,27.844214688576045,1.1826513496205449,358.1469585502747,-12.075299999999993
SKU0047,Pet Supplies,11361.241434048932,5121.951219512185,-53.12549211680473,109.02719713331959,-149.64954613828556,-57.63719999999998
SKU0048,Pet Supplies,28161.5085610773,16463.414634146244,44.51714713312775,20.210903599925732,691.4158241890132,-41.424299999999995
